title,company,location,time,href,description_text
"STAFF RN - EMERGENCY - PIH HEALTH GOOD SAMARITAN HOSPITAL, LOS ANGELES; FULL TIME, EVENINGS",PIH HEALTH,"Los Angeles, CA",1 day ago,https://job-openings.monster.com/staff-rn-emergency-pih-health-good-samaritan-hospital-los-angeles-full-time-evenings-los-angeles-ca-us-pih-health/e118a3a8-2de4-4763-9a06-7d07ff4c8fc0,"DescriptionPIH Health is a nonprofit, regional healthcare network that serves approximately 3 million residents in the Los Angeles County, Orange County and San Gabriel Valley region. The fully integrated network is comprised of PIH Health Hospital - Whittier, PIH Health Hospital - Downey and PIH Health Good Samaritan Hospital, 27 outpatient medical locations, a multispecialty medical (physician) group, home healthcare services and hospice care, as well as heart, cancer, women’s health, urgent care and emergency services.The organization is recognized by Watson Health as one of the nation’s Top Hospitals, and College of Healthcare Information Management Executives (CHIME) as one of the nation’s top hospital systems for best practices, cutting-edge advancements, quality of care and healthcare technology. PIH Health is certified as a Great Place to Work TM. For more information, visit PIHHealth.org or follow us on Facebook, Twitter, or Instagram.The Staff RN is responsible for independently utilizing the nursing process to safely, therapeutically and efficiently care for a group of patients based on policies and procedures. Delivers individualized quality patient care through a coordinated team approach with physicians, staff, other departments and the patient’s family.Required Skills
Written and verbal communications, interpersonal skills.
Basic organizational skills.
Basic computer skills.
Demonstrated leadership abilities.
Patient assessment.
Clinical education related to specialty.
Principles of patient/family teaching.
Required Experience
One year of acute care experience in Emergency.

License & Certification

Current California RN license
Current Basic Life Support (BLS) certification for Healthcare Providers sponsored by the American Heart Association.
Current Advanced Cardiac Life Support (ACLS) certification from by the American Heart Association.
LA City Fire card within 6 months of employment.

 
Beyond the benefits that come with working for the area's leading community healthcare provider – one that also recognizes the need to ensure patient safety and comfort – you'll enjoy an extremely competitive compensation and benefits package.  We are an equal opportunity employer and seek diversity in our workforce.   EOE M/F/D/V"
Sales and Commercial Associate,Pep Boys,"Burbank, CA",2 days ago,https://job-openings.monster.com/sales-commercial-associate-burbank-ca-us-pep-boys/93a489fe-ba01-4a40-9d75-8976dcd731bb,"DescriptionOverviewIcahn Automotive Group LLC (Icahn Automotive) was formed by its parent, Icahn Enterprises L.P. (NASDAQ: IEP), to invest in and operate businesses involved in aftermarket parts distribution and service. Our businesses have a singular focus: provide premium automotive parts and services at a great value. The businesses of Icahn Automotive today consist of Pep Boys® automotive aftermarket retail and service chain, Auto Plus® automotive aftermarket parts distributor, Precision Tune Auto Care® owned and franchised automotive service centers, and AAMCO Total Auto Care franchised service centers. The businesses of Icahn Automotive total over 22,000 employees, over 2,000 company-owned and franchise locations and 25 distribution centers throughout the US, Canada, and Puerto Rico. Position SummaryAs a Sales and Commercial Associate, you are responsible for providing superior customer service and assist in driving sales across the commercial, retail, and hard parts business. Provide essential task support by partnering with management to execute visual presentation standards, provide phone and in-person support to commercial customers, maximize inventory, and proactively engage customers on the sales floor and at the register. This position has been designated as a safety-sensitive position. Duties & ResponsibilitiesUnder the direction of Management, assist with store merchandising activities, maintain standards of appearance, and coordinate and cooperate with associates in the execution of plan-o-grams, overall product presentation, inventory management, reverse logistics process, pricing, signage and various product initiatives to enhance the customer experience and maximize inventory turns.Promptly answers all incoming customer calls on the Commercial phone line; professionally address and direct customer needs. Engage any and all customers as needed, whether on the commercial phone line or on the retail sales floor, and is fully trained on all register procedures.Under the direction of Management, participates in ""truck-day"" operations, cycle counts, audits, and organization of the back room.Under the direction of management, executes promotions, sales tactics, spiffs and sales incentives.Handle all customer transactions; including all sales, returns, and defectives. Reconcile their transaction history and drawer at the conclusion of each shift.Strictly adhere to inventory control programs, in-stock standards, reduction in ""outside"" parts purchases through secondary vendors, and proper ordering and returning of ""special order"" merchandise.Acts as a Commercial Driver as needed.Follow all policies and procedures related to cash, credit, check, refund and return policies. Work with the management team to react to customer service issues, customer complaints, and/or business opportunities.Effectively communicate with all store associates, management, and customers.Other duties as assigned. Knowledge, Skills, and AbilitiesHigh school diploma or equivalent required.Valid Driver's License.Related experience in the automotive service environment is also preferred.Must have basic knowledge and understanding of mathematical concepts such as addition, subtraction, multiplication, division, percentages, and fractions. Ability to apply mathematical formulas to calculate commissions and discounts.Strong verbal communication skills.Strong customer service skills.Ability to work Days, Nights, Weekends, Holidays.Physical Demands/Work EnvironmentThe physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.The characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Physical DemandsMust be able to lift, carry, and place merchandise and supplies up to 50 pounds without assistance.Frequent standing and walking for long periods of time.Frequent reaching overhead and below the knees, including squatting, bending, stooping, kneeling, twisting.Climb up and down ladders to retrieve and stock merchandise.Communicate effectively in person, by telephone, or by using telecommunications equipment.Enters and locates information on computer.Presents information to small and large groups.Visually verifies information, often in small print.Safely operates a motor vehicle."
Truck Drivers - Experienced CDL Class A Drivers,C.R. England,"Los Angeles, CA",4 days ago,https://job-openings.monster.com/truck-drivers-experienced-cdl-class-a-drivers-los-angeles-ca-us-c-r-england/fe99ae8f-be13-4253-831c-28c2e1a3f116,"DescriptionTruck Drivers - Experienced CDL Class A Drivers Hiring Truck Drivers with CDL – Class A license for open Dedicated positions with competitive pay, flexible home time, and great benefits. We are hiring both experienced and entry level truck drivers in possession of a Class A CDL with a safe and clean record that can handle 18 wheels, 40 tons, 80 feet, and 400 horsepower!At C.R. England, You Choose Your Lane*, You Choose Your Position*, and You Get ALL the Benefits!Dedicated Regular Routes, Consistent Miles, Great Pay and Relationships with CustomersEach day brings new opportunity and in dedicated there is one thing you can count on – consistent miles with regular routes and best of all, great pay. Though home time, miles and pay are dependent on markets and regions, we offer the predictable lifestyle you’re looking for in a career with team, solo, and training positions available.You Get ALL the Benefits • Weekly Pay & Consistent Home Time • Health Benefits & 401k Participation • Paid Vacation & Bonus Incentives • Unlimited Cash Referral Program If trucking is in your blood—Apply Now. Company Overview C.R. England is a family-owned, customer and employee focused corporation since 1920, and is driven to deliver excellence as one of the most prominent temperature-controlled carriers in the nation Join C.R. England Today - Where Great Pay is Just the Start* “You choose your lane” and “you choose your position” will depend upon the applicants’ qualifications and C.R. England’s job availability."
Security Guard,SCIS Aerospace,"Los Angeles, CA",9 days ago,https://job-openings.monster.com/security-guard-los-angeles-ca-us-scis-aerospace/d273e11b-2ea3-49e2-8015-08f294637167,"DescriptionSecurity Guard This is an exciting opportunity for individuals to provide customer service and security services to various aerospace companies. We are hiring a Full Time Security Guard to observe and report activities and incidents at highly sensitive controlled facilities that require a level of security clearance. You will regularly check for unsafe conditions, security violations, and unauthorized persons. The ideal candidate has general computer skills, as well as daily access to a smartphone and Internet. Take the first step towards a great career, APPLY TODAY! Requirements:CA State Guard Card requiredPreferred to have a valid driver’s license, clean driving record, and reliable transportationHigh School Diploma or GEDAbility to sit, stand and walk, for long periods of time and may involve climbing stairs and walking up inclines and on uneven terrain. Frequent lifting and/or moving up to 10 pounds and occasional lifting and/or moving up to 25 pounds What We Offer:Competitive compensation with overtime opportunities; previous security experience preferredComprehensive benefits package (Medical, dental, vision) and 401(k) with company matchPaid time offEOE/Minorities/Females/Vets/DisabilitiesCA PP0#14508"
Full Time Security Guard - Bilingual English/Spanish Graveyard Shifts,Securitas,"Pasadena, CA",23 days ago,https://job-openings.monster.com/full-time-security-guard-bilingual-english-spanish-graveyard-shifts-pasadena-ca-us-securitas/43e919cc-5e9d-46dd-825a-cc4c84c7f7cb,"DescriptionFull Time Security Guard - Bilingual English/Spanish Graveyard Shifts All interviews will be held over the phone, and through online video chats. We are hiring a Full Time Security Guard to observe and report activities and incidents at an assigned client site. You will check for unsafe conditions, security violations, and unauthorized persons. The ideal candidate has general computer skills, as well as daily access to a smartphone and Internet Take the first step towards a great career, APPLY TODAY! Requirements: Minimum 3 days of full, open availabilityMust have availability to work graveyard shiftsGraveyard shifts start between 10pm-12amGuard card training provided and initial cost covered by company, CA Guard Card required to start workPreference to have a valid CA driver’s license, clean driving record, and reliable transportationBilingual in English and SpanishHigh School Diploma or GEDAbility to sit, stand and walk, for long periods of time and may involve climbing stairs and walking up inclines and on uneven terrain. Frequent lifting and/or moving up to 10 pounds and occasional lifting and/or moving up to 25 pounds What We Offer: Competitive compensation with overtime opportunities; previous security experience preferredComprehensive benefits package (Medical, dental, vision) and 401(k) with company matchPaid time off This Security Guard job patrols an assigned site on foot or in vehicle, providing for the security and safety of client property and personnel. With over 350 branch locations nationwide, we are the most locally-focused security company in the United States. Our people are the most important component for delivering value to our clients; they truly make the difference. Whether you are inexperienced, have experience, or are transitioning from the military, we have a position for you. We help our employees develop to their full potential by providing distinct training paths and development tools, from security guards to management. Securitas USA complies with the Fair Chance Initiative for Hiring.**State law requirements will apply to certain positions.EEO/M/F/Vets/DisabilitiesPPO #14827"
Coldwell Banker is growing and looking for Licensed Real Estate Agents,Coldwell Banker,"Glendale, CA",12 days ago,https://job-openings.monster.com/coldwell-banker-is-growing-looking-for-licensed-real-estate-agents-glendale-ca-us-coldwell-banker/df58690d-c153-4120-a55f-d24d3f7eb198,"DescriptionLicensed Real Estate Sales Agent Coldwell Banker NRT is seeking both new and experienced real estate agents who are looking to boost their career up a notch. We offer innovative tools and programs specifically designed to help you succeed in real estate, all in support of our Core 4 Values – Production Power, Coaching to Confidence, Wealth Builder and a Culture of Awesomeness.Listing Concierge property marketing servicesDesign Concierge personal marketing servicesWorld-class education coursesSales and business coaching for career developmentCore support from dedicated branch managers and staffBenefit opportunities (health, savings, retirement planning, legal assistance)Recognition events and galas These resources can help put you in a position to provide a level of customer service that agents affiliated with other companies simply cannot match. Reach the heights in your career that you’ve been hoping to achieve – and live an exceptional life. Schedule a confidential meeting this week and learn about the advantages of affiliating with the only national real estate brand that has been leading the way home for more than 110 years."
Health Information Management Specialist,Men's Health Foundation,"West Hollywood, CA",2 days ago,https://job-openings.monster.com/health-information-management-specialist-west-hollywood-ca-us-mens-health-foundation/218818792,"DescriptionOUR PURPOSE Men’s Health Foundation connects men at risk to comprehensive healthcare and wellness through education, collaboration and advocacy, inspiring and empowering all men to live longer, healthier and happier lives.  We see a world where inequity and stigma do not separate men from healthcare.  At Men’s Health Foundation we are reimagining men’s healthcare.   THE POSITION      The Health   Information Management (HIM) Specialist reports to the Clinic Operations   Manager and performs a variety of tasks associated with the collecting,   analyzing and indexing of patient care documentation in the medical record.   Application of knowledge includes the process to store, retrieve, review, analyze,   and process health-related information. The incumbent in this position is   required to be well versed with varying State, Federal, regulatory and   accreditation requirements. Incumbents must document HIM activities following   applicable guidelines and regulations. The incumbent may work closely with   both internal and external customers including clinicians, staff, vendors and   patients.       The Health Information Specialist is responsible for   complex operations including indexing of all documents received   electronically, obtaining documentation from third party portals and   communicating with third party vendors, reviewing reports and completing   basic document corrections. The incumbent will work with newer staff and   assist with training and basic auditing functions.    The incumbent will be self-motivated and prioritize   work tasks among various work queues based on HIM turnaround times and   established priorities. The incumbent routinely provides telephonic and   personal assistance to internal and external customers. The Health   Information Management Specialist must consistently demonstrate superior   people and customer service skills and a commitment to the unique needs and   requirements of a diverse staff of professional caregivers and patients.        ESSENTIAL FUNCTIONS AND RESPONSIBILITIES: (This list may not include all of the duties assigned.)   Processes      medical referrals to outside providers per recommendation; tracks and      receives medical records from outside providers when referral is      completed; guides patient through referral process; schedules follow up      appointments as necessary.   Gathers      patient information by interacting with patient registration areas and      physicians' offices; retrieves information from automated printer, faxes,      and phone calls.  Maintains      patient records; organizes and reviews recommendations; corrects and      communicates problems according to established procedures.  Initiates      the medical record by creating and processing the patient care record      folder.  Prepares new      patient charts; gathers documents      and information from paper sources and/or electronic health record.  Ensures      medical records are assembled in standard order and are accurate and      complete.  Delivers      charts to assigned areas of the practice by following established routing      procedures.  Maintains      quality results by following organizations standards.  Maintains      continuity of work operations by documenting and communicating actions,      irregularities, and continuing needs.  Maintains      patient confidence by keeping patient records information confidential.   Serves      and protects the clinic by adhering to professional standards, organizational      policies and procedures, federal, state, and local requirements, and HIPAA      standards.  Enhances      the organization’s reputation by accepting ownership for accomplishing new      and different requests; exploring opportunities to add value to job      accomplishments; promotes customer service excellence.  Retrieves      medical records from offsite chart storage facilities when needed.  Performs other      clerical tasks as needed, such as answering phones, faxing, and patient      check in and out;      supports other departments as needed per operational necessity.  Other duties may be assigned, as required.   QUALIFICATIONS:  Superior      organizational skill.  Attention to      detail and accuracy  Understanding      of medical terminology  Knowledge      and skill in the use of scanner, fax, and electronic health record      technology  Knowledge      of HIPAA medical      privacy regulations and practices  Excellent customer      service skills  Ability to      work as part of a health care team  Able to      respond to requests in a fast-paced environment  Have      the appropriate level of behavioral maturity and patience in handling a variety      of patients.  Have      diplomacy and tact in handling difficult and irate patients.  Ability to work effectively with men and      transgender women of diverse races, ethnicities, ages, and sexual      orientation in a multicultural environment.  COMPANY REQUIREMENTS:  Must be able to pass a      pre-employment drug test as well as a background check to include a 7-year      criminal, 10-year SSN & employer history reference check    Excellent interpersonal skills  Attention to detail  Must be able to work flexible schedules  Must take yearly flu shot and test for      tuberculosis as required by the Centers for Disease Control and      Prevention."
Sr. Buyer,Company Confidential,"Glendale, CA",2 days ago,https://job-openings.monster.com/sr-buyer-glendale-ca-us/217134069,"DescriptionJob DescriptionReports to the purchasing manager and also works with project management to develop and implement supply chain plans that deliver the best values in products and services considering form, fit, function, expertise, cost, delivery, and quality needed to meet major program initiatives/the development and launch of new products.  Specific expertise required in the buying of printed circuit boards (PCBA), electronic components, electro mechanical parts, LCD’s, wire harnesses, machined parts, used to serve the Commercial and Military Aerospace markets.Essential Responsibilities and DutiesDemonstrates excellent communication, business acumen and judgement in interfacing with management to understand purchase requirements; interfacing with suppliers to communicate purchase requirements; supporting negotiation of more complex unique purchase terms and conditions.Interfaces with management to identify and communicate purchase requirements to be utilized and approved by management.Processes the most difficult and unique purchasing transactions in accordance with DAR/FAR and AS-9100Identifies and selects vendors to procure highly technical commodities meeting criteria of price, quality, quantity, availability, and delivery dates and places orders.Analyzes departmental/product bill of material purchase requisitions/requirements for completeness and accuracy of information. Contacts department or initiator to clarify and complete information. Determines method needed to process requisition such as bid, request for proposal, or blanket contract.Utilizes ERP system to identify requirement, place purchase orders, and follow up on delivery.Negotiates contracts and bid proposals meeting company delegated signature authority policy.Interprets and communicates purchasing procedures and policies to departments, vendors and staff.Distributes and manages technical bid invitations or requests for proposal, receives and analyzes quotes, bids, and proposals, and awards the contract.Monitors the maintenance of records regarding pricing and ordering of materials; prepares reports analysis and recommendations.Qualifications - Knowledge, Skills and Abilities:Business acumen and judgement.Knowledge of the principles and practices of purchasing.Knowledge of printed circuit boards (PCBA), electronic components, electro mechanical parts, LCD’s, wire harnesses, machined parts used to serve the Commercial and Military Aerospace markets.Highly organized with attention to detail, skilled in verbal and written communication.Using ERP/MRP systems for determining requirements for recurring production, as well as, new product development.Microsoft office suite, Word, Excel, PowerPointEducation and Experience Bachelor's degree in related field and four years of buying experience, or seven years of buying experience; or any equivalent combination of experience and/or education from which comparable knowledge, skills and abilities have been achieved."
Rigger 1 (Machinery Mover),MEI Rigging & Crating LLC,"La Mirada, CA",2 days ago,https://job-openings.monster.com/rigger-1-machinery-mover-la-mirada-ca-us-mei-rigging-crating-llc/218297282,"DescriptionLooking for career opportunities, an employer who develops their people, a place to make your mark? If so, we are looking for you at Dunkel Brothers, a subsidiary of MEI Rigging & Crating. We are  a professional machinery moving company. We are a leader in our field and we provide quality machinery moving services to our clients ranging from Automotive, Social Media, and Aerospace companies to every industry in between. We are known for our professionalism, safety focus, quality methods, and skilled team. We are committed to ensuring that our clients can provide their products & services to the communities that we live in. Our people are our best asset and we invest in training, support, and we promote from within. If you are looking to be a part of a great team, please apply! Essential Job Duties and Responsibilities:   •	Signal or verbally direct workers engaged in hoisting and moving loads, in order to ensure safety of workers and materials.•	Test rigging to ensure safety and reliability•	Attach loads to rigging to provide support or prepare them for moving, using hand and power tools. •	Select gear such as cables, pulleys, and winches, according to load weights and sizes, facilities, and work schedules. •	Control movement of heavy equipment through narrow openings or confined spaces, using chainfalls, gin poles, gallows frames, and other equipment.•	Tilt, dip, and turn suspended loads to maneuver over, under, and/or around obstacles, using multi-point suspension techniques.•	Knowledgeable in alignment, leveling, and anchoring of machinery. •	Manipulate rigging lines, hoists, and pulling gear to move or support materials such as heavy equipment, ships, or theatrical sets.•	Attach pulleys and blocks to fixed overhead structures such as beams, ceilings, and gin pole booms, using bolts and clamps. •	Dismantle and store rigging equipment after use.•	Operating Vehicles, Mechanized Devices, or Equipment — Running, maneuvering, navigating, or driving vehicles or mechanized equipment, such as forklifts, scissor lifts, tractor trailers, telehandlers, aerial boom lifts, etc.•	Understand and follow policies and procedures.•	Basic knowledge of operating equipment (Forklifts, man lifts, mobile platform lifts, etc.)•	Experienced knowledge of load securing and safe hauling practices•	Ability to use tape measure; hand, power and pneumatic tools. Minimum Qualifications:•	Minimum two years (2) years industrial experience or comparable experience within the construction service industry.Preferred Qualifications:•	HS diploma or GED equivalent•	Forklift Certification•	Rigging and Signal Person Certification•	CPR Certification•	Heavy haul experience•	RGN TrailersPhysical Requirements & Working Conditions:Performing General Physical Activities — Performing physical activities that require considerable use of your arms and legs and moving your whole body, such as climbing, lifting, balancing, walking, stooping, and handling of materials up to 50 pounds.Other Requirements:Must be able to work in a highly functioning team environment and in all climates.  Display the highest levels of honesty, integrity and professionalism.  Take pride in your work and in the company.  Communicate openly and strive for peak performance in daily tasks.  Know and deliver the quality service MEI’s customers have come to expect. This job description is intended to summarize the type and level of work performed by the incumbent and is not an exhaustive list of duties, responsibilities and requirements.  THIS POSITION IS NOT OPEN TO AGENCY SOLICITATIONS"
Lead/Senior Devops Engineer - 100% REMOTE!,CyberCoders,"Los Angeles, CA",2 days ago,https://job-openings.monster.com/lead-senior-devops-engineer-100-remote-los-angeles-ca-us-cybercoders/218823201,"DescriptionLocation: Work 100% REMOTE!Salary: Up to 150k base plus strong benefits (see below)
Skills: DevOps (AWS, GCP or Azure), Ansible, Terraform, Python, Jenkins

We are a Series C startup which has raised over $50m to date.  A great opportunity to work in AI products for the sports/fitness/health industryTop Reasons to Work with Us- Rapidly growing startup so lots of opportunity- Strong benefits package
- Great time to join as we build a new and cutting edge architecture!What You Will Be Doing- Design & build a secure, scalable and stable cloud infrastructure- Manage and maintain DevOps infrastructure
- Build and maintain our CI/CD pipeline
- Troubleshoot complex production issuesWhat You Need for this PositionWe will consider DevOps candidates either at the mid, senior or lead level.  
Skills should include:

- Ansible
- Terraform
- Python
- Jenkins
- Ideally AWS (or GCP or Azure)
- AutomationWhat's In It for YouCompetitive base, 100% paid healthcare/dental/vision premiums for you (and 65% paid for your family), 401k, flexible/unlimited PTO policy, mobile phone reimbursement and more!So, if you are a Lead, Senior or Mid level Devops Engineer with experience, please apply today!CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance."
